ID,Level,Topics,Topic Label,Conceptual Relation,Filipino Context
Z18,4,inch cost-peso animal,Philippine Currency and Measurement,1,3
Z111,4,tarsier government ferry,Philippine Transportation and Wildlife,2,5
Z19,4,native book spanish,Philippine History and Language,3,3
Z110,4,female catch statue,Filipino Culture and Tourism,2,1
Z14,4,bell hear regine-velasquez,Church and Bells,3,4
Z12,4,singer vocal celebrity actress,Celebrity Singers,5,3
Z11,4,performance sing voice,Singing and Performance,5,2
Z13,4,morissette-amon morissette forget,Morissette Amon and Forgetting Lyrics,4,5
Z16,4,ariana tnt-boy talent male record,Talent Competitions and Male Singers,4,4
Z15,4,world note singing weird,Unusual Singing Styles and Records,2,2
Z17,4,powerful waterfall star,Famous Waterfalls and Stars,2,2
Z119,4,filipina pinay haircut proper girl,Filipina Beauty and Haircuts,4,4
Z118,4,blow win tiktok band online seller,Online Trends and Social Media Success ,3,2
Z120,4,mother bonfire mister husband,Family and Bonfires,2,1
Z117,4,pick buko liter,Coconut Products and Measurement ,3,4
Z116,4,jame lang competition,James and Competitions,2,2
Z115,4,holy rich corner,Religious and Wealthy Figures,1,2
Z114,4,concert beauty song,Concerts and Music,5,3
Z113,4,stan sarah cash,Fans and Cash Prizes,3,4
Z112,4,miguel dance film,Dance and Movies,3,3
Z127,4,breakfast fruit drink sky bright table private,Breakfast and Outdoor Dining,3,2
Z129,4,pineapple juice bag,Pineapple Juice and Bags,4,4
Z128,4,bit slow cheese salt,Food and Taste,2,1
Z130,4,modern japanese peso-price bubble,Modern Japanese Trends and Economy,3,3
Z123,4,brown lee sad,Emotions and Basketball,2,3
Z121,4,tara recipe moment,Cooking and Recipes,3,3
Z122,4,roll carrot plastic,Street Food and Ingredients,2,1
Z124,4,onion pepper cook cooking chop,Cooking and Spices,5,2
Z125,4,chicken-head intestine main-street father wash,Street Food and Traditional Dishes ,3,4
Z126,4,veggie canton ingredient wrap banana-ketchup,Noodles and Filipino Condiments,5,5
Z184,4,cooky oven candy,Baking and Sweets,5,3
Z182,4,max-chicken max-style-chicken garlic,Max's Chicken and Filipino Cuisine,5,5
Z183,4,medium night-market french,Night Markets and French Cuisine,3,3
Z185,4,panglao bridge bohol,Bohol Tourism,5,5
Z186,4,chocolate-hill bohol-bohol hill driver,Chocolate Hills and Bohol Tourism,5,5
Z187,4,sun stair mate,Nature and Travel,2,1
Z181,4,change famous special,Fame and Uniqueness,2,1
Z179,4,class mexican camera,Photography and Mexican Culture,2,1
Z180,4,cruise exotic champ,Luxury Travel and Cruises,3,2
Z192,4,funny malaysia singapore,Comedy and Southeast Asian Countires,3,2
